Name,State,FR Ld,RF Ld,IR Ld,MAR Ld,MDR Ld,R/W,MOV,MA 1,MA 0,MB 1,MB 0,MC 1,MC 0,MD,ME,OP 4,OP 3,OP 2,OP 1,OP0 ,DT 1,DT 0
,225,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,226,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB Imm + OFF,227,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,228,,,,,,1,1,,,,,,,,,,,,,,,
,229,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,230,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB R + OFF,231,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,232,,,,,,1,1,,,,,,,,,,,,,,,
,233,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,234,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB Imm + PRE,235,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,236,,,,,,1,1,,,,,,,,,,,,,,,
,237,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,238,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB R + PRE,239,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,240,,,,,,1,1,,,,,,,,,,,,,,,
,241,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,242,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB Imm + POS,243,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,244,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,245,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,246,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB R + POS,247,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,248,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,249,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,250,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH Imm + OFF,251,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,252,,,,,,1,1,,,,,,,,,,,,,,,
,253,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,254,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH R + OFF,255,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,256,,,,,,1,1,,,,,,,,,,,,,,,
,257,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,258,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
